stationname	date	rides
76878	O'Hare Airport	2019-05-31	13436
81229	O'Hare Airport	2019-06-01	8548
81230	O'Hare Airport	2019-06-02	11129
81231	O'Hare Airport	2019-06-03	11898
81232	O'Hare Airport	2019-06-04	11559
81233	O'Hare Airport	2019-06-05	11529
81234	O'Hare Airport	2019-06-06	13389
81235	O'Hare Airport	2019-06-07	14065
81236	O'Hare Airport	2019-06-08	9462
81237	O'Hare Airport	2019-06-09	11182
81238	O'Hare Airport	2019-06-10	12077
81239	O'Hare Airport	2019-06-11	11313
81240	O'Hare Airport	2019-06-12	12682
81241	O'Hare Airport	2019-06-13	14952
81242	O'Hare Airport	2019-06-14	13856
81243	O'Hare Airport	2019-06-15	8736
81244	O'Hare Airport	2019-06-16	10030
81245	O'Hare Airport	2019-06-17	8726
81246	O'Hare Airport	2019-06-18	7577
81247	O'Hare Airport	2019-06-19	8920
81248	O'Hare Airport	2019-06-20	13692
81249	O'Hare Airport	2019-06-21	12380
81250	O'Hare Airport	2019-06-22	6182
81251	O'Hare Airport	2019-06-23	5169
81252	O'Hare Airport	2019-06-24	6192
81253	O'Hare Airport	2019-06-25	6193
81254	O'Hare Airport	2019-06-26	8772
81255	O'Hare Airport	2019-06-27	12288
81256	O'Hare Airport	2019-06-28	13534
81257	O'Hare Airport	2019-06-29	9400
81258	O'Hare Airport	2019-06-30	9538
85488	O'Hare Airport	2019-07-01	12108
85489	O'Hare Airport	2019-07-02	10189
85490	O'Hare Airport	2019-07-03	12974
85491	O'Hare Airport	2019-07-04	11337
85492	O'Hare Airport	2019-07-05	9939
85493	O'Hare Airport	2019-07-06	9652
85494	O'Hare Airport	2019-07-07	13524
85495	O'Hare Airport	2019-07-08	13529
85496	O'Hare Airport	2019-07-09	12290
85497	O'Hare Airport	2019-07-10	11931
85498	O'Hare Airport	2019-07-11	13520
85499	O'Hare Airport	2019-07-12	14850
85500	O'Hare Airport	2019-07-13	9922
85501	O'Hare Airport	2019-07-14	11032
85502	O'Hare Airport	2019-07-15	12729
85503	O'Hare Airport	2019-07-16	11629
85504	O'Hare Airport	2019-07-17	11491
85505	O'Hare Airport	2019-07-18	12830
85506	O'Hare Airport	2019-07-19	15110
85507	O'Hare Airport	2019-07-20	9338
85508	O'Hare Airport	2019-07-21	10418
85509	O'Hare Airport	2019-07-22	13240
85510	O'Hare Airport	2019-07-23	11533
85511	O'Hare Airport	2019-07-24	11775
85512	O'Hare Airport	2019-07-25	13391
85513	O'Hare Airport	2019-07-26	14323
85514	O'Hare Airport	2019-07-27	9306
85515	O'Hare Airport	2019-07-28	11338
85516	O'Hare Airport	2019-07-29	11181
85517	O'Hare Airport	2019-07-30	11698
85518	O'Hare Airport	2019-07-31	13373
89959	O'Hare Airport	2019-08-01	15071
89960	O'Hare Airport	2019-08-02	13846
89961	O'Hare Airport	2019-08-03	10006
89962	O'Hare Airport	2019-08-04	11715
89963	O'Hare Airport	2019-08-05	12825
89964	O'Hare Airport	2019-08-06	11466
89965	O'Hare Airport	2019-08-07	12203
89966	O'Hare Airport	2019-08-08	13828
89967	O'Hare Airport	2019-08-09	14962
89968	O'Hare Airport	2019-08-10	9289
89969	O'Hare Airport	2019-08-11	10733
89970	O'Hare Airport	2019-08-12	11580
89971	O'Hare Airport	2019-08-13	11289
89972	O'Hare Airport	2019-08-14	11652
89973	O'Hare Airport	2019-08-15	12804
89974	O'Hare Airport	2019-08-16	13610
89975	O'Hare Airport	2019-08-17	9604
89976	O'Hare Airport	2019-08-18	10070
89977	O'Hare Airport	2019-08-19	13083
89978	O'Hare Airport	2019-08-20	10909
89979	O'Hare Airport	2019-08-21	11841
89980	O'Hare Airport	2019-08-22	13471
89981	O'Hare Airport	2019-08-23	14422
89982	O'Hare Airport	2019-08-24	9516
89983	O'Hare Airport	2019-08-25	10991
89984	O'Hare Airport	2019-08-26	11234
