station_id	stationname	date	daytype	rides
72514	40890	O'Hare Airport	2019-04-07	U	10082
72515	40890	O'Hare Airport	2019-04-08	W	12150
72516	40890	O'Hare Airport	2019-04-09	W	10622
72517	40890	O'Hare Airport	2019-04-10	W	8096
72518	40890	O'Hare Airport	2019-04-11	W	11657
72519	40890	O'Hare Airport	2019-04-12	W	11942
72520	40890	O'Hare Airport	2019-04-13	A	8519
72521	40890	O'Hare Airport	2019-04-14	U	7941
72522	40890	O'Hare Airport	2019-04-15	W	11928
72523	40890	O'Hare Airport	2019-04-16	W	10910
72524	40890	O'Hare Airport	2019-04-17	W	10740
72525	40890	O'Hare Airport	2019-04-18	W	12932
72526	40890	O'Hare Airport	2019-04-19	W	11815
72527	40890	O'Hare Airport	2019-04-20	A	8485
72528	40890	O'Hare Airport	2019-04-21	U	11617
72529	40890	O'Hare Airport	2019-04-22	W	12694
72530	40890	O'Hare Airport	2019-04-23	W	10945
72531	40890	O'Hare Airport	2019-04-24	W	10904
72532	40890	O'Hare Airport	2019-04-25	W	11923
72533	40890	O'Hare Airport	2019-04-26	W	12401
72534	40890	O'Hare Airport	2019-04-27	A	8004
72535	40890	O'Hare Airport	2019-04-28	U	10661
